Report Title: student wireless,,,,,,,,,,
Generated: Jun-01-2022, 11:28:12 EDT,,,,,,,,,
Report By:SSID,,,,,,,,,,
SSID: PASD-Student,,,,,,,,,,
Connection Protocol: All Wireless (802.11),,,,,,,,,,
Reporting Period:Last 4 Weeks,,,,,,,,,,
 ,,,,,,,,,,
Unique Clients,,,,,,,,,,
Last Association Time,User,MAC Address,Vendor,IP Address,AP Name,802.11 State,SSID,Profile,Protocol,AP Map Location
Wed Jun 01 08:14:31 EDT 2022,host/22-A45-2SK8YZ2.pasdphantoms.net,08:d2:3e:c8:c0:67,Unknown,10.111.16.134,PAHS-CAFE-01.8f58,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:25:19 EDT 2022,host/22-A46-8GJ2103.pasdphantoms.net,a8:7e:ea:77:d0:58,Unknown,10.111.17.34,PAHS-G6.C1F0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Fri May 27 09:03:11 EDT 2022,host/22-A50-4RK8YZ2.pasdphantoms.net,08:d2:3e:c9:6e:68,Unknown,10.111.16.80,PAHS-E14.FBE4,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 08:19:33 EDT 2022,host/22-B01-GYJ2103.pasdphantoms.net,a8:7e:ea:7c:ca:90,Unknown,10.111.16.108,PAHS-G6.C1F0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 12:55:07 EDT 2022,host/22-B02-FPG2103.pasdphantoms.net,a8:7e:ea:b2:f7:91,Unknown,10.111.16.153,PAHS-J15.7880,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Thu May 26 11:48:25 EDT 2022,host/22-B04-3B5X203.pasdphantoms.net,ac:12:03:52:61:a6,Unknown,10.111.25.1,PAHS-J15.7880,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 08:04:30 EDT 2022,host/22-B08-3K73103.pasdphantoms.net,8c:c6:81:30:57:be,Unknown,10.111.16.101,PAHS-Cafe02.9008,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),System Campus > High School > HS 1st Floor
Tue May 31 13:40:21 EDT 2022,host/22-B09-8J73103.pasdphantoms.net,8c:c6:81:30:61:c3,Unknown,10.111.16.181,PAHS-G3.F318,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:15:39 EDT 2022,host/22-B11-55L2103.pasdphantoms.net,a8:7e:ea:77:ed:77,Unknown,10.111.16.87,PAHS-TVSTUDIO.C3C4,Disassociated,PASD-Student,PASD-Student,802.11ac,
Tue May 31 12:04:46 EDT 2022,host/22-B13-6C53103.pasdphantoms.net,8c:c6:81:32:c0:76,Unknown,10.121.17.25,PAMS-103.A51C,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > Middle School > Middle School Ground Floor
